"Date","Season","Sweek","Block","Rotation","Tillage","Cover","NitrateN"
2019-09-11,"2019-20",9,"4","R4","H","V",16.95
2019-09-11,"2019-20",9,"4","R5","H","V",12.04
2019-09-11,"2019-20",9,"1","R4","NT","B",12.94
2019-09-11,"2019-20",9,"1","R5","NT","B",15.12
2019-09-11,"2019-20",9,"2","R4","NT","B",20.08
2019-09-11,"2019-20",9,"2","R5","NT","B",13.85
2019-09-11,"2019-20",9,"3","R4","NT","B",22.09
2019-09-11,"2019-20",9,"3","R5","NT","B",8.72
2019-09-11,"2019-20",9,"4","R4","NT","B",12.7
2019-09-11,"2019-20",9,"4","R5","NT","B",13.56
2019-09-11,"2019-20",9,"1","R4","NT","Ref",6.61
2019-09-11,"2019-20",9,"1","R5","NT","Ref",18.61
2019-09-11,"2019-20",9,"2","R4","NT","Ref",3.49
2019-09-11,"2019-20",9,"2","R5","NT","Ref",14.02
2019-09-11,"2019-20",9,"3","R4","NT","Ref",10.33
2019-09-11,"2019-20",9,"3","R5","NT","Ref",15.13
2019-09-11,"2019-20",9,"4","R4","NT","Ref",9.5
2019-09-11,"2019-20",9,"4","R5","NT","Ref",14.77
2019-09-11,"2019-20",9,"1","R4","NT","V",12.86
2019-09-11,"2019-20",9,"1","R5","NT","V",11.43
2019-09-11,"2019-20",9,"2","R4","NT","V",5.3
2019-09-11,"2019-20",9,"2","R5","NT","V",13.77
2019-09-11,"2019-20",9,"3","R4","NT","V",12.18
2019-09-11,"2019-20",9,"3","R5","NT","V",15.56
2019-09-11,"2019-20",9,"4","R4","NT","V",10.94
2019-09-11,"2019-20",9,"4","R5","NT","V",15.27
2019-09-27,"2019-20",11,"1","R4","P","B",14.62
2019-09-27,"2019-20",11,"1","R5","P","B",18.09
2019-09-27,"2019-20",11,"2","R4","P","B",11.48
2019-09-27,"2019-20",11,"2","R5","P","B",11.87
2019-09-27,"2019-20",11,"3","R4","P","B",16.91
2019-09-27,"2019-20",11,"3","R5","P","B",19.1
2019-09-27,"2019-20",11,"4","R4","P","B",7.28
2019-09-27,"2019-20",11,"4","R5","P","B",17.57
2019-09-27,"2019-20",11,"1","R4","P","Ref",9.56
2019-09-27,"2019-20",11,"1","R5","P","Ref",17.37
2019-09-27,"2019-20",11,"2","R4","P","Ref",7.28
2019-09-27,"2019-20",11,"2","R5","P","Ref",13.85
2019-09-27,"2019-20",11,"3","R4","P","Ref",7.18
2019-09-27,"2019-20",11,"3","R5","P","Ref",18.63
2019-09-27,"2019-20",11,"4","R4","P","Ref",10.52
2019-09-27,"2019-20",11,"4","R5","P","Ref",32.08
2019-09-27,"2019-20",11,"1","R4","P","V",7.61
2019-09-27,"2019-20",11,"1","R5","P","V",23.55
2019-09-27,"2019-20",11,"2","R4","P","V",18.05
2019-09-27,"2019-20",11,"2","R5","P","V",20.29
2019-09-27,"2019-20",11,"3","R4","P","V",11.74
2019-09-27,"2019-20",11,"3","R5","P","V",16.69
2019-09-27,"2019-20",11,"4","R4","P","V",5.1
2019-09-27,"2019-20",11,"4","R5","P","V",19.7
2019-09-27,"2019-20",11,"1","R4","H","B",18.49
2019-09-27,"2019-20",11,"1","R5","H","B",17
2019-09-27,"2019-20",11,"2","R4","H","B",11.43
2019-09-27,"2019-20",11,"2","R5","H","B",19.68
2019-09-27,"2019-20",11,"3","R4","H","B",10.88
2019-09-27,"2019-20",11,"3","R5","H","B",14.99
2019-09-27,"2019-20",11,"4","R4","H","B",8.28
2019-09-27,"2019-20",11,"4","R5","H","B",15.94
2019-09-27,"2019-20",11,"1","R4","H","Ref",10.75
2019-09-27,"2019-20",11,"1","R5","H","Ref",15.23
2019-09-27,"2019-20",11,"2","R4","H","Ref",6.73
2019-09-27,"2019-20",11,"2","R5","H","Ref",24.03
2019-09-27,"2019-20",11,"3","R4","H","Ref",11.4
2019-09-27,"2019-20",11,"3","R5","H","Ref",15.03
2019-09-27,"2019-20",11,"4","R4","H","Ref",14.89
2019-09-27,"2019-20",11,"4","R5","H","Ref",27.62
2019-09-27,"2019-20",11,"1","R4","H","V",17.76
2019-09-27,"2019-20",11,"1","R5","H","V",51
2019-09-27,"2019-20",11,"2","R4","H","V",11.37
2019-09-27,"2019-20",11,"2","R5","H","V",12.95
2019-09-27,"2019-20",11,"3","R4","H","V",13.29
2019-09-27,"2019-20",11,"3","R5","H","V",15.13
2019-09-27,"2019-20",11,"4","R4","H","V",14.36
2019-09-27,"2019-20",11,"4","R5","H","V",12.93
2019-09-27,"2019-20",11,"1","R4","NT","B",11.86
2019-09-27,"2019-20",11,"1","R5","NT","B",16.16
2019-09-27,"2019-20",11,"2","R4","NT","B",17.93
2019-09-27,"2019-20",11,"2","R5","NT","B",13.63
2019-09-27,"2019-20",11,"3","R4","NT","B",19.3
2019-09-27,"2019-20",11,"3","R5","NT","B",11.55
2019-09-27,"2019-20",11,"4","R4","NT","B",10.81
2019-09-27,"2019-20",11,"4","R5","NT","B",12.98
2019-09-27,"2019-20",11,"1","R4","NT","Ref",7.98
2019-09-27,"2019-20",11,"1","R5","NT","Ref",22.38
2019-09-27,"2019-20",11,"2","R4","NT","Ref",3.18
2019-09-27,"2019-20",11,"2","R5","NT","Ref",14.9
2019-09-27,"2019-20",11,"3","R4","NT","Ref",9.66
2019-09-27,"2019-20",11,"3","R5","NT","Ref",16.05
2019-09-27,"2019-20",11,"4","R4","NT","Ref",9.45
2019-09-27,"2019-20",11,"4","R5","NT","Ref",17.65
2019-09-27,"2019-20",11,"1","R4","NT","V",22.04
2019-09-27,"2019-20",11,"1","R5","NT","V",12.78
2019-09-27,"2019-20",11,"2","R4","NT","V",9.69
2019-09-27,"2019-20",11,"2","R5","NT","V",15.12
2019-09-27,"2019-20",11,"3","R4","NT","V",8.94
2019-09-27,"2019-20",11,"3","R5","NT","V",19.98
2019-09-27,"2019-20",11,"4","R4","NT","V",8.55
2019-09-27,"2019-20",11,"4","R5","NT","V",16.31
2019-10-11,"2019-20",13,"1","R4","P","B",15.08
2019-10-11,"2019-20",13,"1","R5","P","B",19.38
2019-10-11,"2019-20",13,"2","R4","P","B",13.17
2019-10-11,"2019-20",13,"2","R5","P","B",13.77
2019-10-11,"2019-20",13,"3","R4","P","B",14.61
2019-10-11,"2019-20",13,"3","R5","P","B",19.8
2019-10-11,"2019-20",13,"4","R4","P","B",10.26
2019-10-11,"2019-20",13,"4","R5","P","B",18.33
2019-10-11,"2019-20",13,"1","R4","P","Ref",8.45
2019-10-11,"2019-20",13,"1","R5","P","Ref",17.79
2019-10-11,"2019-20",13,"2","R4","P","Ref",7.22
2019-10-11,"2019-20",13,"2","R5","P","Ref",14.71
2019-10-11,"2019-20",13,"3","R4","P","Ref",8.35
2019-10-11,"2019-20",13,"3","R5","P","Ref",17.81
2019-10-11,"2019-20",13,"4","R4","P","Ref",9.08
2019-10-11,"2019-20",13,"4","R5","P","Ref",29.51
2019-10-11,"2019-20",13,"1","R4","P","V",8.37
2019-10-11,"2019-20",13,"1","R5","P","V",25.56
2019-10-11,"2019-20",13,"2","R4","P","V",18.15
2019-10-11,"2019-20",13,"2","R5","P","V",27.28
2019-10-11,"2019-20",13,"3","R4","P","V",10.73
2019-10-11,"2019-20",13,"3","R5","P","V",19.75
2019-10-11,"2019-20",13,"4","R4","P","V",6.47
2019-10-11,"2019-20",13,"4","R5","P","V",22.74
2019-10-11,"2019-20",13,"1","R4","H","B",16.43
2019-10-11,"2019-20",13,"1","R5","H","B",21.15
2019-10-11,"2019-20",13,"2","R4","H","B",11.81
2019-10-11,"2019-20",13,"2","R5","H","B",23.21
2019-10-11,"2019-20",13,"3","R4","H","B",12.88
2019-10-11,"2019-20",13,"3","R5","H","B",19.72
2019-10-11,"2019-20",13,"4","R4","H","B",8.9
2019-10-11,"2019-20",13,"4","R5","H","B",21.41
2019-10-11,"2019-20",13,"1","R4","H","Ref",9.92
2019-10-11,"2019-20",13,"1","R5","H","Ref",14.99
2019-10-11,"2019-20",13,"2","R4","H","Ref",6.5
2019-10-11,"2019-20",13,"2","R5","H","Ref",23.64
2019-10-11,"2019-20",13,"3","R4","H","Ref",9.79
2019-10-11,"2019-20",13,"3","R5","H","Ref",11.92
2019-10-11,"2019-20",13,"4","R4","H","Ref",14.17
2019-10-11,"2019-20",13,"4","R5","H","Ref",28.66
2019-10-11,"2019-20",13,"1","R4","H","V",18.21
2019-10-11,"2019-20",13,"1","R5","H","V",58.65
2019-10-11,"2019-20",13,"2","R4","H","V",12.28
2019-10-11,"2019-20",13,"2","R5","H","V",14.79
2019-10-11,"2019-20",13,"3","R4","H","V",12.79
2019-10-11,"2019-20",13,"3","R5","H","V",18.05
2019-10-11,"2019-20",13,"4","R4","H","V",13.76
2019-10-11,"2019-20",13,"4","R5","H","V",14.48
2019-10-11,"2019-20",13,"1","R4","NT","B",11.34
2019-10-11,"2019-20",13,"1","R5","NT","B",17.64
2019-10-11,"2019-20",13,"2","R4","NT","B",15.92
2019-10-11,"2019-20",13,"2","R5","NT","B",14.77
2019-10-11,"2019-20",13,"3","R4","NT","B",16.32
2019-10-11,"2019-20",13,"3","R5","NT","B",13.93
2019-10-11,"2019-20",13,"4","R4","NT","B",9.93
2019-10-11,"2019-20",13,"4","R5","NT","B",12.98
2019-10-11,"2019-20",13,"1","R4","NT","Ref",7.77
2019-10-11,"2019-20",13,"1","R5","NT","Ref",23.2
2019-10-11,"2019-20",13,"2","R4","NT","Ref",3.13
2019-10-11,"2019-20",13,"2","R5","NT","Ref",9.91
2019-10-11,"2019-20",13,"3","R4","NT","Ref",8.98
2019-10-11,"2019-20",13,"3","R5","NT","Ref",16.59
2019-10-11,"2019-20",13,"4","R4","NT","Ref",8.94
2019-10-11,"2019-20",13,"4","R5","NT","Ref",19.6
2019-10-11,"2019-20",13,"1","R4","NT","V",24.61
2019-10-11,"2019-20",13,"1","R5","NT","V",15.1
2019-10-11,"2019-20",13,"2","R4","NT","V",12.99
2019-10-11,"2019-20",13,"2","R5","NT","V",17.11
2019-10-11,"2019-20",13,"3","R4","NT","V",7.06
2019-10-11,"2019-20",13,"3","R5","NT","V",21.65
2019-10-11,"2019-20",13,"4","R4","NT","V",9
2019-10-11,"2019-20",13,"4","R5","NT","V",17.56
2019-10-25,"2019-20",15,"1","R4","P","B",16.4
2019-10-25,"2019-20",15,"1","R5","P","B",22.3
2019-10-25,"2019-20",15,"2","R4","P","B",15.9
2019-10-25,"2019-20",15,"2","R5","P","B",19
2019-10-25,"2019-20",15,"3","R4","P","B",13.1
2019-10-25,"2019-20",15,"3","R5","P","B",21.6
2019-10-25,"2019-20",15,"4","R4","P","B",19.1
2019-10-25,"2019-20",15,"4","R5","P","B",22.5
2019-10-25,"2019-20",15,"1","R4","P","Ref",4.9
2019-10-25,"2019-20",15,"1","R5","P","Ref",11.1
2019-10-25,"2019-20",15,"2","R4","P","Ref",6.8
2019-10-25,"2019-20",15,"2","R5","P","Ref",11.8
2019-10-25,"2019-20",15,"3","R4","P","Ref",4.8
2019-10-25,"2019-20",15,"3","R5","P","Ref",14
2019-10-25,"2019-20",15,"4","R4","P","Ref",2.6
2019-10-25,"2019-20",15,"4","R5","P","Ref",14.2
2019-10-25,"2019-20",15,"1","R4","P","V",13
2019-10-25,"2019-20",15,"1","R5","P","V",28.4
2019-10-25,"2019-20",15,"2","R4","P","V",19.2
2019-10-25,"2019-20",15,"2","R5","P","V",32.2
2019-10-25,"2019-20",15,"3","R4","P","V",9.5
2019-10-25,"2019-20",15,"3","R5","P","V",22.6
2019-10-25,"2019-20",15,"4","R4","P","V",17.6
2019-10-25,"2019-20",15,"4","R5","P","V",24.3
2019-10-25,"2019-20",15,"1","R4","H","B",14.5
2019-10-25,"2019-20",15,"1","R5","H","B",28.2
2019-10-25,"2019-20",15,"2","R4","H","B",17.9
2019-10-25,"2019-20",15,"2","R5","H","B",28.5
2019-10-25,"2019-20",15,"3","R4","H","B",15
2019-10-25,"2019-20",15,"3","R5","H","B",36.7
2019-10-25,"2019-20",15,"4","R4","H","B",11
2019-10-25,"2019-20",15,"4","R5","H","B",24.8
2019-10-25,"2019-20",15,"1","R4","H","Ref",4.4
2019-10-25,"2019-20",15,"1","R5","H","Ref",9.7
2019-10-25,"2019-20",15,"2","R4","H","Ref",4.8
2019-10-25,"2019-20",15,"2","R5","H","Ref",12.4
2019-10-25,"2019-20",15,"3","R4","H","Ref",5.1
2019-10-25,"2019-20",15,"3","R5","H","Ref",4.6
2019-10-25,"2019-20",15,"4","R4","H","Ref",2.2
2019-10-25,"2019-20",15,"4","R5","H","Ref",3
2019-10-25,"2019-20",15,"1","R4","H","V",19.4
2019-10-25,"2019-20",15,"1","R5","H","V",61.1
2019-10-25,"2019-20",15,"2","R4","H","V",14.7
2019-10-25,"2019-20",15,"2","R5","H","V",21.2
2019-10-25,"2019-20",15,"3","R4","H","V",11.7
2019-10-25,"2019-20",15,"3","R5","H","V",29.2
2019-10-25,"2019-20",15,"4","R4","H","V",14.1
2019-10-25,"2019-20",15,"4","R5","H","V",16.3
2019-10-25,"2019-20",15,"1","R4","NT","B",14
2019-10-25,"2019-20",15,"1","R5","NT","B",22.1
2019-10-25,"2019-20",15,"2","R4","NT","B",14.4
2019-10-25,"2019-20",15,"2","R5","NT","B",18
2019-10-25,"2019-20",15,"3","R4","NT","B",15.4
2019-10-25,"2019-20",15,"3","R5","NT","B",30.7
2019-10-25,"2019-20",15,"4","R4","NT","B",11.8
2019-10-25,"2019-20",15,"4","R5","NT","B",15
2019-10-25,"2019-20",15,"1","R4","NT","Ref",9.7
2019-10-25,"2019-20",15,"1","R5","NT","Ref",18.7
2019-10-25,"2019-20",15,"2","R4","NT","Ref",1.4
2019-10-25,"2019-20",15,"2","R5","NT","Ref",8.3
2019-10-25,"2019-20",15,"3","R4","NT","Ref",4.8
2019-10-25,"2019-20",15,"3","R5","NT","Ref",13.1
2019-10-25,"2019-20",15,"4","R4","NT","Ref",6.6
2019-10-25,"2019-20",15,"4","R5","NT","Ref",19.6
2019-10-25,"2019-20",15,"1","R4","NT","V",32.4
2019-10-25,"2019-20",15,"1","R5","NT","V",16.7
2019-10-25,"2019-20",15,"2","R4","NT","V",12.9
2019-10-25,"2019-20",15,"2","R5","NT","V",23.9
2019-10-25,"2019-20",15,"3","R4","NT","V",8.5
2019-10-25,"2019-20",15,"3","R5","NT","V",33.8
2019-10-25,"2019-20",15,"4","R4","NT","V",13.5
2019-10-25,"2019-20",15,"4","R5","NT","V",20.3
2019-11-08,"2019-20",17,"1","R4","P","B",15.95
2019-11-08,"2019-20",17,"1","R5","P","B",24.56
2019-11-08,"2019-20",17,"2","R4","P","B",18.27
2019-11-08,"2019-20",17,"2","R5","P","B",24
2019-11-08,"2019-20",17,"3","R4","P","B",12.66
2019-11-08,"2019-20",17,"3","R5","P","B",26.11
2019-11-08,"2019-20",17,"4","R4","P","B",23.87
2019-11-08,"2019-20",17,"4","R5","P","B",25.67
2019-11-08,"2019-20",17,"1","R4","P","Ref",2.43
2019-11-08,"2019-20",17,"1","R5","P","Ref",4.83
2019-11-08,"2019-20",17,"2","R4","P","Ref",5.52
2019-11-08,"2019-20",17,"2","R5","P","Ref",7.64
2019-11-08,"2019-20",17,"3","R4","P","Ref",2.89
2019-11-08,"2019-20",17,"3","R5","P","Ref",9.33
2019-11-08,"2019-20",17,"4","R4","P","Ref",0.6
2019-11-08,"2019-20",17,"4","R5","P","Ref",5.2
2019-11-08,"2019-20",17,"1","R4","P","V",16.62
2019-11-08,"2019-20",17,"1","R5","P","V",28.68
2019-11-08,"2019-20",17,"2","R4","P","V",18.23
2019-11-08,"2019-20",17,"2","R5","P","V",33.09
2019-11-08,"2019-20",17,"3","R4","P","V",10.13
2019-11-08,"2019-20",17,"3","R5","P","V",27.4
2019-11-08,"2019-20",17,"4","R4","P","V",14.85
2019-11-08,"2019-20",17,"4","R5","P","V",24.14
2019-11-08,"2019-20",17,"1","R4","H","B",14.39
2019-11-08,"2019-20",17,"1","R5","H","B",30.12
2019-11-08,"2019-20",17,"2","R4","H","B",22.76
2019-11-08,"2019-20",17,"2","R5","H","B",28.89
2019-11-08,"2019-20",17,"3","R4","H","B",16.7
2019-11-08,"2019-20",17,"3","R5","H","B",30.47
2019-11-08,"2019-20",17,"4","R4","H","B",12.39
2019-11-08,"2019-20",17,"4","R5","H","B",23.67
2019-11-08,"2019-20",17,"1","R4","H","Ref",1.24
2019-11-08,"2019-20",17,"1","R5","H","Ref",8.55
2019-11-08,"2019-20",17,"2","R4","H","Ref",2.24
2019-11-08,"2019-20",17,"2","R5","H","Ref",5.6
2019-11-08,"2019-20",17,"3","R4","H","Ref",1.91
2019-11-08,"2019-20",17,"3","R5","H","Ref",1.26
2019-11-08,"2019-20",17,"4","R4","H","Ref",0.66
2019-11-08,"2019-20",17,"4","R5","H","Ref",0.19
2019-11-08,"2019-20",17,"1","R4","H","V",21.41
2019-11-08,"2019-20",17,"1","R5","H","V",52.57
2019-11-08,"2019-20",17,"2","R4","H","V",14.28
2019-11-08,"2019-20",17,"2","R5","H","V",22.04
2019-11-08,"2019-20",17,"3","R4","H","V",11.48
2019-11-08,"2019-20",17,"3","R5","H","V",31.04
2019-11-08,"2019-20",17,"4","R4","H","V",13.72
2019-11-08,"2019-20",17,"4","R5","H","V",17.16
2019-11-08,"2019-20",17,"1","R4","NT","B",18
2019-11-08,"2019-20",17,"1","R5","NT","B",24.57
2019-11-08,"2019-20",17,"2","R4","NT","B",14.55
2019-11-08,"2019-20",17,"2","R5","NT","B",23.25
2019-11-08,"2019-20",17,"3","R4","NT","B",16.09
2019-11-08,"2019-20",17,"3","R5","NT","B",52.26
2019-11-08,"2019-20",17,"4","R4","NT","B",17.03
2019-11-08,"2019-20",17,"4","R5","NT","B",18.32
2019-11-08,"2019-20",17,"1","R4","NT","Ref",4.82
2019-11-08,"2019-20",17,"1","R5","NT","Ref",12.69
2019-11-08,"2019-20",17,"2","R4","NT","Ref",0.28
2019-11-08,"2019-20",17,"2","R5","NT","Ref",6.5
2019-11-08,"2019-20",17,"3","R4","NT","Ref",2.17
2019-11-08,"2019-20",17,"3","R5","NT","Ref",8.18
2019-11-08,"2019-20",17,"4","R4","NT","Ref",3.09
2019-11-08,"2019-20",17,"4","R5","NT","Ref",10.19
2019-11-08,"2019-20",17,"1","R4","NT","V",38.57
2019-11-08,"2019-20",17,"1","R5","NT","V",18.66
2019-11-08,"2019-20",17,"2","R4","NT","V",7.87
2019-11-08,"2019-20",17,"2","R5","NT","V",25.84
2019-11-08,"2019-20",17,"3","R4","NT","V",12.44
2019-11-08,"2019-20",17,"3","R5","NT","V",43.12
2019-11-08,"2019-20",17,"4","R4","NT","V",19.81
2019-11-08,"2019-20",17,"4","R5","NT","V",23.29
2019-11-22,"2019-20",19,"1","R4","P","B",13.4
2019-11-22,"2019-20",19,"1","R5","P","B",24
2019-11-22,"2019-20",19,"2","R4","P","B",19.01
2019-11-22,"2019-20",19,"2","R5","P","B",24.68
2019-11-22,"2019-20",19,"3","R4","P","B",13.85
2019-11-22,"2019-20",19,"3","R5","P","B",27.26
2019-11-22,"2019-20",19,"4","R4","P","B",17.59
2019-11-22,"2019-20",19,"4","R5","P","B",25.15
2019-11-22,"2019-20",19,"1","R4","P","Ref",1.03
2019-11-22,"2019-20",19,"1","R5","P","Ref",2.07
2019-11-22,"2019-20",19,"2","R4","P","Ref",3.83
2019-11-22,"2019-20",19,"2","R5","P","Ref",4.67
2019-11-22,"2019-20",19,"3","R4","P","Ref",1.29
2019-11-22,"2019-20",19,"3","R5","P","Ref",6.88
2019-11-22,"2019-20",19,"4","R4","P","Ref",0.26
2019-11-22,"2019-20",19,"4","R5","P","Ref",1.82
2019-11-22,"2019-20",19,"1","R4","P","V",15.88
2019-11-22,"2019-20",19,"1","R5","P","V",25.06
2019-11-22,"2019-20",19,"2","R4","P","V",15.54
2019-11-22,"2019-20",19,"2","R5","P","V",25.21
2019-11-22,"2019-20",19,"3","R4","P","V",10.54
2019-11-22,"2019-20",19,"3","R5","P","V",28.72
2019-11-22,"2019-20",19,"4","R4","P","V",10.07
2019-11-22,"2019-20",19,"4","R5","P","V",20.41
2019-11-22,"2019-20",19,"1","R4","H","B",14.36
2019-11-22,"2019-20",19,"1","R5","H","B",25.95
2019-11-22,"2019-20",19,"2","R4","H","B",23.71
2019-11-22,"2019-20",19,"2","R5","H","B",26.86
2019-11-22,"2019-20",19,"3","R4","H","B",16.21
2019-11-22,"2019-20",19,"3","R5","H","B",23.6
2019-11-22,"2019-20",19,"4","R4","H","B",11.7
2019-11-22,"2019-20",19,"4","R5","H","B",19.04
2019-11-22,"2019-20",19,"1","R4","H","Ref",0.38
